date,link,title
Mon Dec 23,/sby/cas/4256994144.html,seeking older bbw - m4w
Mon Dec 23,/nby/cas/4244375365.html,"Calling all female voyeurs, watch an uncut cock cum - m4w"
Mon Dec 23,/sfc/cas/4257020479.html,good looking white guy with big cock for mature or a bbw - m4w
Mon Dec 23,/nby/cas/4219311415.html,Novice seeking headmaster for blowjob mentoring  - m4m
Mon Dec 23,/eby/cas/4256990111.html,"Free drinks, fun convo - m4w"
Mon Dec 23,/pen/cas/4257020236.html,tall masc bttm for taller  - m4m
Mon Dec 23,/pen/cas/4256896129.html,What do you want!!!  - w4m
Mon Dec 23,/eby/cas/4256994797.html,Work out at Club 1 Gym Downtown Oakland - m4m
Mon Dec 23,/eby/cas/4229044886.html,daddy/daughter play. tall very handsome swm seeks yngr - m4w
Mon Dec 23,/eby/cas/4231555991.html,420 lets PARTY! - m4w
Mon Dec 23,/sfc/cas/4256901654.html,Quickie! - m4w
Mon Dec 23,/sfc/cas/4235767343.html,cheers! lets have a night of passion n ecstacy - m4w
Mon Dec 23,/sby/cas/4256943279.html,Are you 50 - m4w
Mon Dec 23,/nby/cas/4226733907.html,Seeking Masculine Fuck Buddy(s) - m4m
Mon Dec 23,/sfc/cas/4256984905.html,"Tired of ""No STD's in Ads - m4m"
Mon Dec 23,/scz/cas/4256896452.html,Maybe you sexyyyyyyyyy more - w4m
Mon Dec 23,/pen/cas/4256907118.html,look for uncut Latin dl nsA - m4m
Mon Dec 23,/sfc/m4m/4257017320.html,Horned up and looking for a mutual phone JO buddy  - m4m
Mon Dec 23,/eby/cas/4252342657.html,Searching for orally talented women - m4w
Mon Dec 23,/eby/cas/4256883593.html,Married male 420 friendly - m4w
Mon Dec 23,/eby/cas/4257005682.html,Are you femme and a VERY good kisser? - m4t
Mon Dec 23,/sfc/cas/4250412640.html,Porn Rules! - m4w
Mon Dec 23,/sfc/cas/4257009523.html,Any bi or str8 dudes looking to host a muscular DL cocksucker in SF? - m4m
Mon Dec 23,/eby/cas/4256892161.html,21.. Tasty - w4mw
Mon Dec 23,/sby/cas/4247256240.html,MW DL cocksucker lKN 2B used by HUNG 18-32 blue collar workers/jocks  - m4m
Mon Dec 23,/eby/cas/4226765045.html,I want to catch you in the act - m4m
Mon Dec 23,/sfc/cas/4244529661.html,Let's Get under the sheets and have some fun - m4w
Mon Dec 23,/eby/cas/4256858254.html,VGL CMT With Table Looking For Someone To Rub Today - m4w
Mon Dec 23,/eby/cas/4257012453.html,tight ass looking for a top - m4m
Mon Dec 23,/nby/cas/4257012016.html,Seeking cuckold couple - m4mw
Mon Dec 23,/sby/cas/4257011983.html,Need a playmate - m4w
Mon Dec 23,/sfc/cas/4250831383.html,Searching for Creampie fantasy girl - m4w
Mon Dec 23,/eby/cas/4257011499.html,"VGL, Discreet Blond Available To Orally Explore You NSA - m4w"
Mon Dec 23,/sby/cas/4250828004.html,Cute guy looking for passable bottom - m4t
Mon Dec 23,/eby/cas/4256992914.html,European man visiting - m4mw
Mon Dec 23,/pen/cas/4257002025.html,White Oral Sub Bottom ISO Monster Cock - m4m
Mon Dec 23,/sby/cas/4257010001.html,"Bust my nut - m4mw, m4t, m4m - m4w"
Mon Dec 23,/nby/cas/4221684132.html,Downlow guy looking to suck dick.  - m4m
Mon Dec 23,/pen/cas/4256978452.html,Drinks and Niner game with a nice guy? - m4w
Mon Dec 23,/nby/cas/4253127782.html,Looking for couple or group of men m4m or m4mm - m4m
Mon Dec 23,/sfc/cas/4257001834.html,Real Wanted!! - m4w
Mon Dec 23,/sby/cas/4256911652.html,i want to lick your kitty - m4w
Mon Dec 23,/nby/cas/4250477798.html,Traveling hung - m4mw
Mon Dec 23,/sfc/cas/4257005970.html, HOT GUY LOOKING TO TAKE YOUR STRAP ON - m4w
Mon Dec 23,/eby/cas/4257005437.html,be serious and ready.... - m4m
Mon Dec 23,/sby/cas/4257005395.html,Chat anyone? - w4m
Mon Dec 23,/eby/cas/4248515037.html,Women Who Like to smell men's feet and suck Cock? - m4w
Mon Dec 23,/sfc/cas/4250878697.html,DADDY MASSAGE.. - m4m
Mon Dec 23,/sby/cas/4257071311.html,Bi Boy Toy Wanted  - mw4m
Mon Dec 23,/sfc/cas/4257009158.html,Wife Seduction / Threesome Fantasy - mw4w
Mon Dec 23,/sby/cas/4257090102.html,Bottom in need of a hot top - m4m
Mon Dec 23,/sby/cas/4253275734.html,Jewish Santa Needs Love just like you - m4w
Mon Dec 23,/sby/cas/4257089914.html,i want to get pounded - m4m
Mon Dec 23,/eby/cas/4257084589.html,Looking for friends - mw4mw
Mon Dec 23,/sby/cas/4257051365.html,Sexy Bi Couple Seeks Sexy Bi Couple NYE - mw4mw
Mon Dec 23,/sfc/cas/4257087911.html,Looking for the biggest cocks in SF - t4m
Mon Dec 23,/sby/cas/4251204282.html,Sucking up young hard dicks!! - m4m
Mon Dec 23,/nby/cas/4256940981.html,afternoon of PNP -let's get nasty petite / full figure - m4w
Mon Dec 23,/nby/cas/4257087605.html,Dom seeking Sub - m4w
Mon Dec 23,/eby/cas/4233826352.html,We go out on Friday night to Pyramid  - mw4mw
Mon Dec 23,/eby/cas/4238725758.html,Lover for your Wife or GF. Looking for true cuckold couple.  - m4mw
Mon Dec 23,/eby/cas/4257079047.html,where are the sexiest girls at? - m4t
Mon Dec 23,/eby/cas/4257078993.html,Straight Top Looking for a Sexy Fem TS Today... - m4t
Mon Dec 23,/sfc/cas/4257086946.html,A nice guy looking for a sweet girl. - m4w
Mon Dec 23,/sfc/cas/4257057706.html,My White Elephant Gift - m4w
Mon Dec 23,/eby/cas/4257086431.html,any pretty uncut dicks looking to get sucked? - m4m
Mon Dec 23,/sby/cas/4254367321.html,"Indian Tall , tan skin handsome , looking for fun  - m4w"
Mon Dec 23,/eby/cas/4257085982.html,Slutty Sub Cocksucker for Secret Santa - m4m
Mon Dec 23,/eby/cas/4256992561.html,sexy top young and hung ready to play - m4t
Mon Dec 23,/sfc/cas/4257050936.html,NSA BBC 4clean WHITE/ASIAN/LATINA++++ - m4w
Mon Dec 23,/sfc/cas/4250368960.html,..could it be possible to actually find a discreet FWB on cl?  - m4w
Mon Dec 23,/pen/cas/4257148548.html,ATHLETIC HUNG AND HANDSOME LOOKING FOR HORNY FEMALE TODAY... - m4w
Mon Dec 23,/sby/cas/4257132648.html, Horny Mature looking to give receive head - m4m
Mon Dec 23,/eby/cas/4257137211.html,small guy and love your ass licked? - m4m
