date,link,title
"Sat 16 Aug,Fri 15 Aug",/cas/4621738215.html,"hi, any early morning 'GRAMPA'S' up ...OVER 65+ years old :) - m4m"
"Sat 16 Aug,Fri 15 Aug",/cas/4621731991.html,weekend girlfriend/friend! - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621716485.html,Want a sexy couple to get freaky with - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4621718412.html,Suck U Now - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621672483.html,full.body.massage - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621667392.html,Bubble butt hosting - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621686245.html,this takes to long - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621683891.html,Saturday am fun - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621679930.html,str8 drunk an would love to bo blown an try to blow - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621648799.html,Chill and good time - m4mw
Fri 15 Aug,/cas/4621374394.html,Guy in McCall tonight - m4m
Fri 15 Aug,/cas/4621370498.html,looking for oral fun - m4w
Fri 15 Aug,/cas/4621369360.html,I'm sucking dick in nampa tonight.  - m4mm
Fri 15 Aug,/cas/4621581869.html,Massage for college Student or Jock - m4m
Fri 15 Aug,/cas/4621577924.html,nsa - m4w
Fri 15 Aug,/cas/4621585840.html,Monday fun - m4w
Fri 15 Aug,/cas/4621577901.html,Hosting tomorrow! - m4w
Fri 15 Aug,/cas/4618333899.html,thong time boise - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621677655.html,No fake shit.. lets do this. - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621676975.html,full.body.massage.needed - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621672112.html,"lonely,Disillusioned, and tired of stupid girls - m4w"
"Sat 16 Aug,Fri 15 Aug",/cas/4621674333.html,blow your load in my mouth - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621673717.html,anyone still up to hang out tonight - mw4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4621623285.html,Chill and watch anime - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621670288.html,Chub Bottom + Panties + Baby Oil - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621666838.html,Can you host right now for mutual j/o? - m4m
Fri 15 Aug,/cas/4621366560.html,Right now - m4w
Fri 15 Aug,/cas/4617590609.html,love to give oral to people whos  mates do not - m4mw
Fri 15 Aug,/cas/4621353260.html,Friday night - m4w
Fri 15 Aug,/cas/4621360031.html,Looking for a couple or group that wants to have fun. - m4mw
Fri 15 Aug,/cas/4621352233.html,bored and ready to have fun - m4w
Fri 15 Aug,/cas/4621334991.html,Tonight - m4m
Fri 15 Aug,/cas/4621265917.html,"She Said to Find Some Fun, So . . . m4w - m4w"
Fri 15 Aug,/cas/4621344394.html,Friday night!! Let's party!! - m4w
Fri 15 Aug,/cas/4621305017.html,Looking for FWB - mw4mw
Fri 15 Aug,/cas/4579280899.html,Be real and be over 35 please - m4w
Fri 15 Aug,/cas/4595618960.html,any ladies like giving oral - m4w
Fri 15 Aug,/cas/4600856991.html,Loose BB shorts or Sports shorts - m4m
Fri 15 Aug,/cas/4614900511.html,Bored & Horny - m4m
Fri 15 Aug,/cas/4614899509.html,Looking For Active Duty Military Guy - m4m
Fri 15 Aug,/cas/4621580050.html,"Nice guy, lonely  - m4w"
"Sat 16 Aug,Fri 15 Aug",/cas/4621666014.html,wanna fuck woman hardcore - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621665543.html,For Dudes That Just Want To Cum ! - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621648238.html,Just looking too chill - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621658045.html,Interested in common attraction that could lead to friendship - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621637209.html,Horny Girls Wanted 420 friendly only - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621660146.html,bi-cur want too... - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621637590.html,Work out my 2-week load on your leather truck/suv seats - m4m
Fri 15 Aug,/cas/4601689957.html,Dad plays with agreeable Son - m4m
Fri 15 Aug,/cas/4580496792.html,Long Term FWB - m4w
Fri 15 Aug,/cas/4621310123.html,couple seeking man for threesome - mw4m
Fri 15 Aug,/cas/4621307264.html,Str8/Married Cocks - m4m
Fri 15 Aug,/cas/4621307065.html,RE: Lets play today - m4m
Fri 15 Aug,/cas/4621233445.html,WANTED: HUGE COCK (bigger=better) - m4m
Fri 15 Aug,/cas/4594562819.html,Discreet - m4m
Fri 15 Aug,/cas/4579037120.html,looking for cpl thats dtf - m4mw
Fri 15 Aug,/cas/4621579860.html,Host a fun couple - m4mw
Fri 15 Aug,/cas/4621579384.html,"SUCK, FUCK, FUN! - m4m"
Fri 15 Aug,/cas/4579201686.html,Fun time - m4m
Fri 15 Aug,/cas/4621578671.html,are you naughty?  - m4w
Fri 15 Aug,/cas/4621578539.html,wanting sex
Fri 15 Aug,/cas/4584211657.html,M4W (BAREBACK) - m4w
Fri 15 Aug,/cas/4603080746.html,"near BSU, hosting one or more - m4m"
Fri 15 Aug,/cas/4620951549.html,looking to suck a real young guy off - m4m
Fri 15 Aug,/cas/4620964993.html,Looking to get fucked ads still up I'm still looking - m4m
Fri 15 Aug,/cas/4595815844.html,really need a blow job  - m4m
Fri 15 Aug,/cas/4583610129.html,Creampie Clean Up For Couple - m4mw
Fri 15 Aug,/cas/4620922268.html,whiskey girl - m4w
Fri 15 Aug,/cas/4620939884.html,lets play today - m4m
Fri 15 Aug,/cas/4620760679.html,Massage please male ofr female - m4w
Fri 15 Aug,/cas/4620901676.html,Fuck my wife - mw4m
Fri 15 Aug,/cas/4620884285.html,Someone to kick it with! - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4585635278.html,Older Women are so sexy - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4586720067.html,Fantasy of mine.  - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4596549516.html,FOR REAL GURL FOR NAUGHTY FUN!! - t4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620306141.html,"Young or old, perfect secret meeting spot - m4mw"
"Fri 15 Aug,Thu 14 Aug",/cas/4620320846.html,"athletic, hung, respectful for friend with benefits - m4w"
"Fri 15 Aug,Thu 14 Aug",/cas/4620285931.html,Weekend Massage for College Student or Jock - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620297674.html,Shy girl need for discrete fun - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4620318378.html,"HJ, BJ, or.... - m4m"
"Fri 15 Aug,Thu 14 Aug",/cas/4572682264.html,Looking for a sexy host in a hotel - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4592642970.html,Daddy type Looking to Play - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620243740.html,very horny now - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620232861.html,join me in bed this morning  - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620275139.html,any ladies in their 60 70 looking to play - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4610297516.html,Let me lick every drop of my nectar off your gorgeous breasts - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4575980712.html,Flash Friday - mw4mw
"Fri 15 Aug,Thu 14 Aug",/cas/4596144262.html,looking for a bbw  here in boise - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4607395745.html,any asian women here in boise - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621651397.html,FWB - w4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621652863.html,"a bicurious in need of a bj, down to fuck. - m4m"
"Sat 16 Aug,Fri 15 Aug",/cas/4611493117.html,oral panty bottomneeds hung top now - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621651623.html,need a big cock in my teen mouth - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4597538392.html,i love car sex - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4597538124.html,cum in my car - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621650783.html,its late  - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4608762376.html,Lunch time fun? - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621649174.html,Horny So lets fuck - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621645984.html,Honey suckle fun  then Breakfast in bed - m4w
Fri 15 Aug,/cas/4615345369.html,are u dominant - m4w
Fri 15 Aug,/cas/4621292927.html,Mtn home blk looking  - m4m
Fri 15 Aug,/cas/4577690439.html,Any younger woman looking to be spoiled sexually? - m4w
Fri 15 Aug,/cas/4613115638.html,wanting bj or top maybe both - m4m
Fri 15 Aug,/cas/4600576060.html,truckers - m4m
Fri 15 Aug,/cas/4621572145.html,giving head or a handjob prefer older - m4m
Fri 15 Aug,/cas/4621554842.html,Women 21-41 who love and want their pussy licked! - m4w
Fri 15 Aug,/cas/4621560806.html,Right Now - m4w
Fri 15 Aug,/cas/4621567647.html,young fit gl down to earth for similar - m4m
Fri 15 Aug,/cas/4620878292.html,Cute Bottom Needs a Pounding - m4m
Fri 15 Aug,/cas/4620817416.html,I need blown - m4m
