date,link,title
Fri 15 Aug,/cas/4620871665.html,nice closeted guy coming to town - m4m
Fri 15 Aug,/cas/4583377535.html,Older gentleman for mature full figured woman - m4w
Fri 15 Aug,/cas/4615284801.html,Addicted to creampies! - m4w
Fri 15 Aug,/cas/4620834258.html,looking for night time fb - m4w
Fri 15 Aug,/cas/4603714105.html,Married Ladies.... - m4w
Fri 15 Aug,/cas/4620851414.html,I host - m4m
Fri 15 Aug,/cas/4620752473.html,bbc for lunch - m4m
Fri 15 Aug,/cas/4620793364.html,Shorter than 5' only please - m4w
Fri 15 Aug,/cas/4620657314.html,looking for some weekend fun - m4w
Fri 15 Aug,/cas/4620790177.html,bear love  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4590920213.html,Let me jack you off - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4599136360.html,REAL STR8 MAN
"Sat 16 Aug,Fri 15 Aug",/cas/4621711717.html,Mature men wanted by a mature man - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621713813.html,"Courisous, looking for first time  - m4m"
"Sat 16 Aug,Fri 15 Aug",/cas/4591846297.html,horned up black cock! - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621697193.html,oceandr downtown - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621668148.html,STRAIT FREAK - m4w
Fri 15 Aug,/cas/4610741845.html,    looking for brandon  soon - m4m
Fri 15 Aug,/cas/4609748772.html,Attractive military dude for NSA fwb - m4w
Fri 15 Aug,/cas/4610840936.html,bj needed soon!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! - m4m
Fri 15 Aug,/cas/4592073993.html,afternoon dl hook up - m4m
Fri 15 Aug,/cas/4620721335.html,Looking for now - m4w
Fri 15 Aug,/cas/4620760105.html,Slow Painless Anal Training for Female - m4w
Fri 15 Aug,/cas/4601591506.html,Suck me kingsville only - m4m
Fri 15 Aug,/cas/4601720578.html,Kingsville - m4m
Fri 15 Aug,/cas/4620721437.html,hosting in ap now - m4m
Fri 15 Aug,/cas/4620680814.html,do you like to kiss n cuddle - m4w
Fri 15 Aug,/cas/4620676292.html,LETS HAVE FUN THIS WEEKEND - mw4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621695884.html,super handy man - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621689283.html,Robstown Party - mm4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621685242.html,looking for two girls to have fun with - m4ww
"Sat 16 Aug,Fri 15 Aug",/cas/4621683410.html,meet up at walmart - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4601960082.html,Seeking big uncut cock RIGHT NOW  - m4m
Fri 15 Aug,/cas/4620672170.html,I loose when I wrestle - m4m
Fri 15 Aug,/cas/4620667908.html,Open and ready - m4m
Fri 15 Aug,/cas/4620626851.html,Wanting chocolate  - m4w
Fri 15 Aug,/cas/4611805326.html,Looking for buddies/ kingsville - m4m
Fri 15 Aug,/cas/4583554488.html,DL nooner - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621676723.html,suckin morning wood
"Sat 16 Aug,Fri 15 Aug",/cas/4621676581.html,Why mess with all these ratchet hoe bottoms when you could have this - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621677976.html,looking - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621677273.html,hungry nympho  - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621673044.html,Help - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621675977.html,Bi looking - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4619195250.html,Want to play? - w4w
"Thu 14 Aug,Wed 13 Aug",/cas/4593939716.html,I got a couple of hours for a quick fck - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4619169133.html,Let's be friends! ;) - w4w
"Thu 14 Aug,Wed 13 Aug",/cas/4619142624.html,spontaneous - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4586052059.html,Are you ready to be trained as SUB or PET - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4591569571.html,POWERFUL Handsome DOM reviewing naughty sub women applicants  - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4596460267.html,Part time sub in training for Fulltime Master - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4593013798.html,D/S Couple desire W or MW for intense meetings - mw4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617156191.html,Married women or milf.... - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617163277.html,wanting to meet - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617199438.html,In beeville tx looking for a good fuck - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617151130.html,massage and more for handsome chubby men - m4m
"Wed 13 Aug,Tue 12 Aug",/cas/4588943263.html,Looking for T-Girl for fun - m4t
"Wed 13 Aug,Tue 12 Aug",/cas/4590897061.html,ABF - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4593977156.html,x rated picture - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617107193.html,WEDNESDAY HUMP DAY - m4m
"Wed 13 Aug,Tue 12 Aug",/cas/4608195626.html,sexy pregnant girl - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617071121.html,just something extra - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4577159724.html,Young and hung seeks public play around the rafters in annaville - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4614605314.html,shoreline fun - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4577886750.html,Looking for this tonight - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619957277.html,Looking to give head  - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619977173.html,Looking to get off - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4607062255.html,Squirt or cum all over my face - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619971364.html,Is it COLD in Port A? - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619970648.html,Tickling - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4573248620.html,in ur mouth or ass - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619955304.html,in port aransas - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4601098108.html,need pussy - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619952643.html,will you avoid to give eating naughty bits? - w4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619950750.html,wm hosting nsa - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4614956646.html,In port a now! - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619857784.html,Any Hung with big loads in Kingsville - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619931851.html,Bitch Looking guy 4 Straight Domm Dude - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619930422.html,lets have fun! - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619926490.html,Pussy Pleasure - m4w
Fri 15 Aug,/cas/4620634715.html,Friends - m4w
Fri 15 Aug,/cas/4620626946.html,suck me in ingleside
Fri 15 Aug,/cas/4595024735.html,daddy for young top or bottom - m4m
Fri 15 Aug,/cas/4620576479.html,Blo-n-go - m4m
Fri 15 Aug,/cas/4617254472.html,Squirt or cum all over my face - m4w
Fri 15 Aug,/cas/4620537116.html,horny BEEVILLE - m4mw
Fri 15 Aug,/cas/4620523552.html,***tops..near...me.. or close by*** - m4m
Fri 15 Aug,/cas/4620488803.html,female fwb wanted - m4w
Fri 15 Aug,/cas/4620494004.html,"blondes,red heads ,brunettes wanted - m4w"
Fri 15 Aug,/cas/4620457893.html,Need rookie 17-22 yr old female to help.... - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621671963.html,Let's get high and fuck - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621671836.html,Heeeey boys! Who is having ICE T ea at the parTy? - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4580980482.html,bicurious drunk men leaving the bar hornyy - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621655172.html,Who's awake? - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4603833342.html,Looking for FWB - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4619147168.html,older gentleman for Latina bbw - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4615223381.html,SERIOUS DOM & MASTER looking for SPECIAL SUB  - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4615421932.html,Looking for adventure erotic sexual days and nights !!! - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4612904040.html,looking 4 big one - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4614109466.html,need mouth filled - m4m
"Wed 13 Aug,Tue 12 Aug",/cas/4617068471.html,papa bear looking 4 ts/cd or bottom    - m4t
"Wed 13 Aug,Tue 12 Aug",/cas/4617066544.html,mature lady our secreat - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4606485472.html,sugarbaby wanted - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617028007.html,Pussy pump.. - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4617010153.html,Male looking for Awesome Female - m4w
"Wed 13 Aug,Tue 12 Aug",/cas/4594699423.html,any masc men in bridge pointe looking for a bottom  - m4m
"Wed 13 Aug,Tue 12 Aug",/cas/4593538741.html,Kiewit men  - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619900284.html,Looking for some Dick to SUCK and GAG  - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619907231.html,((((((((( BOTTOM SUB FOR OLDER HUNG DADDY TYPE)))))))) - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619906702.html,Hispanic Cougar needs Hot 20 something male.
"Fri 15 Aug,Thu 14 Aug",/cas/4619835481.html,Looking for a fwb NSA  - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619903189.html,naughty cyber/phone play tonight - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4574671464.html,Horny tonight - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619895419.html,Any Straight Guys who are down to Fuck me and my Mouth?? I'm Looking - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4619894561.html,I need my ass fucked hard! - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4616453875.html,I'll go over and eat your pussy then leave - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4619896578.html,I need my throat murdered make me choke on ur cock - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4614581102.html,seeking some new friends - m4mw
"Fri 15 Aug,Thu 14 Aug",/cas/4602120616.html,Military guy for fun... - m4w
Wed 13 Aug,/cas/4571090630.html,I want cock - m4m
Wed 13 Aug,/cas/4600828451.html,let's experiment together - m4m
Wed 13 Aug,/cas/4612009362.html,seeking older fwb - m4w
Wed 13 Aug,/cas/4618223283.html,>>>>>>> HUNG DICK wanting to play <<<<<<&
Wed 13 Aug,/cas/4618299563.html,"handjob, ruined orgasm - m4w"
Wed 13 Aug,/cas/4618301038.html,soft slow oral and more - m4m
Wed 13 Aug,/cas/4618299775.html,oral for older - m4m
Wed 13 Aug,/cas/4618285409.html,Straight Men who need their Cock Sucked??? - m4m
Wed 13 Aug,/cas/4589148651.html,Young attractive hisp couple looking for a sexy girl  - mw4w
Wed 13 Aug,/cas/4618283131.html,Need a load to swallow  - m4m
Wed 13 Aug,/cas/4618283955.html,Bottom looking for a Top! - m4m
Wed 13 Aug,/cas/4618284659.html,Sucking need a Hard Pounding in my Ass  - m4m
Wed 13 Aug,/cas/4618282258.html,Bottom guy looking for a Top need some Dick - m4m
Wed 13 Aug,/cas/4618283012.html,who wants to hang out tonight or this weekend?  - m4w
Wed 13 Aug,/cas/4618271044.html,ISO A HOT FUCK - m4m
Fri 15 Aug,/cas/4621471564.html,iso college guys - m4m
Fri 15 Aug,/cas/4621484582.html,want to join a group - m4m
Fri 15 Aug,/cas/4621467892.html,Hit me baby one more time! Hot bottom for a hot time!! - m4m
Fri 15 Aug,/cas/4620483253.html,Fck in public a turn on - m4w
Fri 15 Aug,/cas/4588492952.html,"L-♥-♥-K---> ROMANTIC,FUN,EDUCATED AND SENSUAL - m4w"
Fri 15 Aug,/cas/4617111985.html, hung dad types??? - m4mw
Fri 15 Aug,/cas/4620488678.html,looking for another curious guy for bj - m4m
Fri 15 Aug,/cas/4620483669.html,Looking for Now - m4m
Fri 15 Aug,/cas/4620462016.html,Need to unload? - m4m
Fri 15 Aug,/cas/4620414472.html,you host near horne/ayers or pick me up - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621640859.html,Threesome - mw4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621652155.html,man or woman. for a threesome - mw4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4608765661.html,Curious... - w4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621646351.html,let me be the other woman - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621642646.html,"Looking for now, Are you horny? - m4w"
"Sat 16 Aug,Fri 15 Aug",/cas/4621630047.html,Small Dick Looking for Fun - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621631755.html,Gloryholes or cruising spots? - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4618942849.html,wifey not doing it - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4619055944.html,Fun person to hangout with  - m4w
"Thu 14 Aug,Wed 13 Aug",/cas/4619049276.html,Let me join for some soft fun - m4mw
"Thu 14 Aug,Wed 13 Aug",/cas/4619046510.html,Afternoon free - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4619003455.html,Looking for oral play /kingsville - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4619033446.html,Sunrise mall - m4m
"Thu 14 Aug,Wed 13 Aug",/cas/4604299317.html,Looking for inexperienced but willing sugarbaby!!! - m4w
