date,link,title
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621745171.html,I need a RELEASE!! Tonight Only - m4mw
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621741289.html,"turtle bay, kawela bay, v land - m4m"
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621735584.html,Looking for a wonderful morning - m4w
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4599359236.html,Lookin for Early Morning NUtt!!BJ & Rim - m4m
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621733613.html,Really??? - m4m
"Sat 16 Aug,Fri 15 Aug",/big/cas/4621731336.html,try again no sesess yet - m4m
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621719358.html,Serving now - m4w
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4577369482.html,Who's need a Bj today?  - t4m
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4599903131.html,Nice Guy Looking for Nice Girl For NSA Fun! - m4w
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4574862249.html,Who's up and hard for fun?  - t4m
Fri 15 Aug,/oah/cas/4621663785.html,FIT BI GUY IN WAIKIKI HOTEL 15 AUG FOR HOLS SEEKING DL MUSCLE DUDE   - m4m
Fri 15 Aug,/oah/cas/4621663434.html,Massage/FWB/Attractive Male Wanted - w4m
Fri 15 Aug,/oah/cas/4621663188.html,Massage for Hard Core Gym Guys
Fri 15 Aug,/oah/cas/4621661426.html,Home alone - m4w
Fri 15 Aug,/oah/cas/4621655425.html,lookin fo naked roommates
Fri 15 Aug,/oah/cas/4621324028.html,I think Taizo Braden is hot - m4m
Fri 15 Aug,/big/cas/4601623096.html,Are you a size queen? - m4w
Fri 15 Aug,/big/cas/4600584361.html,lets take care of each other - m4w
Fri 15 Aug,/oah/cas/4617167344.html,Pleasure Her - m4mw
Fri 15 Aug,/mau/cas/4621305361.html,Sugar Beach blow and go - m4m
Fri 15 Aug,/kau/cas/4621310496.html,Eater Seeking Feeders - m4m
Fri 15 Aug,/big/cas/4610063025.html,Real bbc looking for horny ts or cd - m4t
Fri 15 Aug,/oah/cas/4621308774.html,Asian cream - w4m
Fri 15 Aug,/mau/cas/4598985439.html,Looking for Mrs. Robinson 2.0 - m4w
Fri 15 Aug,/big/cas/4621512086.html,Wanna fuck this weekend?  - m4w
Fri 15 Aug,/oah/cas/4621512136.html,bobble head - w4m
Fri 15 Aug,/oah/cas/4621504524.html,Older for Younger - m4m
Fri 15 Aug,/mau/cas/4621507795.html,need stress relieve
Fri 15 Aug,/oah/cas/4621516340.html,BJ - m4m
Fri 15 Aug,/oah/cas/4577903644.html,Let's play - m4w
Fri 15 Aug,/oah/cas/4621505093.html,25 hot guy looking for discreet fun - m4m
Fri 15 Aug,/oah/cas/4621427556.html,Any CDs around Windward Side - m4t
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4599902621.html,Saturday morning Erotic Fun in Manoa !  - m4w
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621724944.html, Well Hung Guy Wanting to Play - m4w
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621721018.html,Local girl looking for a local couple or local bruddah - w4mw
"Sat 16 Aug,Fri 15 Aug",/oah/cas/4621699264.html,passable ts knockout wants to get down - t4m
