date,link,title
"Sat 16 Aug,Fri 15 Aug",/cas/4621733603.html,Teach me - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621700836.html,Any ladies needing help - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621718401.html,morin anybody wanna hook up and have sum fun - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621698034.html,Let's play at my place. BWC here for service - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4621710962.html,Glory Hole? - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621695880.html,looling for fun - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621694672.html,Where's my black queen - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621683111.html,you like to jo? - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4582979149.html,anybody wanna come hangout - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621669157.html,Surprising My Wife With GangBang - mw4mm
"Sat 16 Aug,Fri 15 Aug",/cas/4621662126.html,Looking for fun Saturday - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4608355643.html,FUK ME NOW  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4579993549.html,any ladies wanna come keep me company home alone - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4596787981.html,any ladies wanna hangout and ride and have sum fun - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621622808.html,anybody up and bored and wanna hangout - w4w
"Sat 16 Aug,Fri 15 Aug",/cas/4581172486.html,single and horny and hostin tonight - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4580652325.html,any ladies wanna cum over i will host - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621602739.html,lookin to hookup and have sum fun now - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4579430617.html,who wants to come play wit me and my big dick - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4607618245.html,lookin for a good bj or sum good pussy - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4614127583.html,need tulips planted - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621557306.html,late nite cock 4u - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621571009.html,sup ladies single horny and ready to mingle - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621564392.html,Â€69actionÂ£ - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621569537.html,25 f Lookin for NSA  - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4613264413.html,jerkin outside - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621557169.html,flashing truckers - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4598146419.html,bi guys(couple)looking for a woman! - mm4w
"Sat 16 Aug,Fri 15 Aug",/cas/4581326225.html,tag team this ass  - mm4m
"Sat 16 Aug,Fri 15 Aug",/cas/4581325836.html,hot young Twink - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4585681293.html,2 hung fit guys looking for a female!  - mm4w
"Sat 16 Aug,Fri 15 Aug",/cas/4602150786.html,bi guys(couple)looking for a woman! - mm4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621554884.html,Fat cock for play - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621544887.html,Who Needs Some Quick Head? Hosting Now - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4586235674.html,NSA FUN THIS WEEK  - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4617924697.html,"Young straight, bi, curious, needing great head - m4m"
"Sat 16 Aug,Fri 15 Aug",/cas/4611261323.html,I will do clean up - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4611164998.html,Bi-male for you to use here - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4610852363.html,Straight Skyhawk - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4614977539.html,Needing a woman - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4610231656.html,Naked Fun - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621441177.html,who want to start a Sex Cult with me? - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621481300.html,Need sucked tomorrow - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621469111.html,masc bi brother need a massage - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621452996.html,Can you host Sat morning before noon - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4610242975.html,need a thick cock - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4616370676.html,you an me - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4611504120.html,jerk off bud - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4613213084.html,NSA friends??? - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621390947.html,Lick-N-Leave? - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621350763.html,Fantasy Wanted - w4m
"Sat 16 Aug,Fri 15 Aug",/cas/4589343203.html,A real gentleman looking for you! - m4mw
"Sat 16 Aug,Fri 15 Aug",/cas/4621319484.html,come fuck me - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621301146.html,big black cock wanted  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621265423.html,Lets give this a shot..[first time post] - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621312230.html,  want latin or  white  cock  21 to 40 or big uncut cock - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621302321.html,420 friendly hosting in jaxon for some fun with nice chick - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621268259.html,Barn Fucking - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621255455.html,Now. Free - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4600290976.html,Nipple Lover - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621244692.html,SBM seeking SWF for NSA Fun - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4621239872.html,shemale  - t4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621209351.html,want your cock and cum - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4615076066.html,looking for older to spank me - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4621030125.html,STRAIGHT/BI GUYS 18-35 (white only)  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4599064732.html,hung black men 2 of them
"Sat 16 Aug,Fri 15 Aug",/cas/4595855607.html,looking for slim hung black man
"Sat 16 Aug,Fri 15 Aug",/cas/4578560504.html,I'm real plz be real too - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4587822739.html,fun let's try - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609535982.html,Amateur porn star needed - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609616516.html,Be real or be gone.. - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609623507.html,smoke 1 - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609601582.html,Friends or more.. - m4w
"Sat 09 Aug,Fri 08 Aug",/cas/4611587472.html,wanting to party tonight - mw4m
"Sat 09 Aug,Fri 08 Aug",/cas/4611585534.html,Just enjoy yourself - m4w
"Sat 09 Aug,Fri 08 Aug",/cas/4611576926.html,Cool guy needed - m4m
"Sat 09 Aug,Fri 08 Aug",/cas/4611557070.html,Head - m4w
"Sat 09 Aug,Fri 08 Aug",/cas/4611572418.html,Looking to suck some dick tonight  - m4m
"Sat 09 Aug,Fri 08 Aug",/cas/4585883267.html,older looking for younger for benefits - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4620849107.html,strapon play - m4w
"Sat 16 Aug,Fri 15 Aug",/cas/4620872518.html,Feed me your cock  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4620873457.html,"Move on, not for me - m4m"
"Sat 16 Aug,Fri 15 Aug",/cas/4620781271.html,Any guys wanna meet at sycamore lake and get their cock sucked? - m4mm
"Sat 16 Aug,Fri 15 Aug",/cas/4620808713.html,Feed me your cock  - m4m
"Sat 16 Aug,Fri 15 Aug",/cas/4620777555.html,need to get laid today - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609603618.html,Looking for what I don't have.... - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609489379.html,Let's play!! - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4576639325.html,fat guys are awesome - m4m
"Fri 08 Aug,Thu 07 Aug",/cas/4590673174.html,Virgin looking for first time - m4w
"Fri 08 Aug,Thu 07 Aug",/cas/4609347733.html,Sucking in vehicle muse - m4m
"Fri 08 Aug,Thu 07 Aug",/cas/4609383694.html,Dl guys no bs. - m4m
"Sat 09 Aug,Fri 08 Aug",/cas/4611555124.html,white bottom looking for black top  - m4m
"Sat 09 Aug,Fri 08 Aug",/cas/4611520759.html,Horny and lonely tonight  - w4m
"Sat 09 Aug,Fri 08 Aug",/cas/4587138423.html,Birthday sex ;) - m4w
"Sat 09 Aug,Fri 08 Aug",/cas/4606628055.html,"2 discreet, slender, hot guys looking - mm4m"
"Sat 09 Aug,Fri 08 Aug",/cas/4611399611.html,Let's have fun.  - w4w
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4618818220.html,looking for a daddy type - m4m
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4618838918.html,Two friends and one guy - m4ww
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4618606968.html,let me please u - m4w
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4609408693.html,Bored in Alamo - m4w
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4600443241.html,DD please - m4w
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4574153730.html,needa real woman if any are out there? - m4w
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4609088693.html,Looking for another curious guy for some dl fun  - m4m
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4618588734.html,Want to suck some dick  - m4m
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4596074576.html,visiting Paris- Murray today - m4m
"Thu 14 Aug,Wed 13 Aug,Tue 12 Aug",/cas/4618557183.html,Its been awhile  - w4w
"Tue 12 Aug,Mon 11 Aug",/cas/4616677662.html,let us eat your pussy - mw4w
"Tue 12 Aug,Mon 11 Aug",/cas/4616636281.html,"Let me use you, tonight.  - m4w"
"Tue 12 Aug,Mon 11 Aug",/cas/4616633254.html,Need cock tonight! - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616576911.html,let me stop in and give it to you good - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616605436.html,Bottom tomorrow muse - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4596477486.html,sucking dick  - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4611826175.html,Bottoming - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616526419.html,NEED A BJ IN YOUR CAR OR HOTEL ROOM? - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4584812428.html,j/o or b/j - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4602538613.html,cream pie - m4w
"Tue 12 Aug,Mon 11 Aug",/cas/4616470421.html,looking for some m2m action - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4586982767.html,OLDER CHUBBY GUY FOR YOUNGER CHUB CHASER - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616408968.html,truckers/locals/hotel that can host Sat.mornmorning? - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616362283.html,wanting to get fucked tonight - m4w
"Tue 12 Aug,Mon 11 Aug",/cas/4616372817.html,Looking in Jackson - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4598691094.html,COME AND PLAY!! - m4m
"Tue 12 Aug,Mon 11 Aug",/cas/4616359148.html,Alone in Jackson - m4w
"Tue 12 Aug,Mon 11 Aug",/cas/4616161900.html,looking  for  a canoeing couple - mw4mw
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613460938.html,2pleaseU - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613442190.html,My turn!  - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613452556.html,GIVING BLOWJOBS AT THE FAIR TONIGHT - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4590837862.html,Head - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613444855.html,dl lookin  - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613409695.html,looking for a good bj im free now until 12 pm can anyone help me out - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620275778.html,are you looking for a daddy - m4w
"Fri 15 Aug,Thu 14 Aug",/cas/4620238781.html,morning head - m4m
"Fri 15 Aug,Thu 14 Aug",/cas/4620223854.html,to please u - m4w
