date,link,title
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613073316.html,take me - t4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4582344727.html,tied up
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4586253798.html,dom seeking sub - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4607078486.html,dying wish
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4596012409.html,sissy pussy - t4mm
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4599636948.html,Looking for a fwb style relationship - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4582753884.html,use my body
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4599597504.html,Home alone tonight
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4617376987.html,Hmm - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4617244156.html,looking  - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4617243614.html,looking  - m4m
"Sat 16 Aug,Fri 15 Aug,Thu 14 Aug,Wed 13 Aug",/cas/4621665677.html,Looking for morning fun - m4m
"Sat 16 Aug,Fri 15 Aug,Thu 14 Aug,Wed 13 Aug",/cas/4621596386.html,sucking big dick or taking a nice bj  - m4m
"Sat 16 Aug,Fri 15 Aug,Thu 14 Aug,Wed 13 Aug",/cas/4621530721.html,tonight - m4w
"Sat 16 Aug,Fri 15 Aug,Thu 14 Aug,Wed 13 Aug",/cas/4621595208.html,"If you like a small dik and a tight ass, looking for a steady thing - m4m"
"Sat 16 Aug,Fri 15 Aug,Thu 14 Aug,Wed 13 Aug",/cas/4621591274.html,SUCK COCK - m4m
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592893389.html,Wanting To Go Down On Cougar - m4w
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592924651.html,22/m wanting release - m4w
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592769186.html,looking for HWP bottom - m4m
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592768088.html,Bondage in barn - m4w
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592621307.html,MWM looking for fun - m4mw
"Tue 29 Jul,Mon 28 Jul,Sun 27 Jul,Sat 26 Jul,Fri 25 Jul,Thu 24 Jul",/cas/4592618141.html,MWM looking for head - m4m
"Sat 09 Aug,Fri 08 Aug,Thu 07 Aug,Wed 06 Aug,Tue 05 Aug,Mon 04 Aug",/cas/4611468291.html,Looking for fun outdoors - m4m
"Sat 09 Aug,Fri 08 Aug,Thu 07 Aug,Wed 06 Aug,Tue 05 Aug,Mon 04 Aug",/cas/4611428391.html,his first 3way - mm4w
"Sat 09 Aug,Fri 08 Aug,Thu 07 Aug,Wed 06 Aug,Tue 05 Aug,Mon 04 Aug",/cas/4589471979.html,"Country boys, in the country? - m4m"
"Sat 09 Aug,Fri 08 Aug,Thu 07 Aug,Wed 06 Aug,Tue 05 Aug,Mon 04 Aug",/cas/4610799464.html,"Head, fuck? Both?  - m4m"
"Sat 09 Aug,Fri 08 Aug,Thu 07 Aug,Wed 06 Aug,Tue 05 Aug,Mon 04 Aug",/cas/4610673643.html,Need sucked and/or fucked - m4m
"Thu 24 Jul,Wed 23 Jul,Tue 22 Jul,Mon 21 Jul,Sun 20 Jul",/cas/4585973392.html,Looking for a one night stand - m4w
"Thu 24 Jul,Wed 23 Jul,Tue 22 Jul,Mon 21 Jul,Sun 20 Jul",/cas/4585965175.html,Hit my ass deep & hard! - m4m
