date,link,title
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613644724.html,One night stand - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613571825.html,Nuru massage  - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4590298891.html,sucking cock and taking it bent over - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613477221.html,Want to suck your cock! - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613442242.html,hotel room - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613424369.html,Str8ish guy working in escanaba looking - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613399157.html,Looking for trouble !! - mw4mw
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613397481.html,Looking around for trouble - mw4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4617115983.html,Sexy BBW wanted - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4593040941.html,2 guys looking for playmates - m4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4617101500.html,Any young or passable CD/TV/TG's? - m4t
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4617050029.html,Cloudy day BJ - m4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4617039363.html,looking in Marquette - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4605753892.html,Gentlemen Prefer Blondes - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4583771745.html,massage wanted - m4mw
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613374691.html,Wanted:  naughty female to hang with. - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613374094.html,Looking for hot sex tonight - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613373493.html,Looking for big boobs! - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613303821.html,suck my cock? - m4w
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613233390.html,looking for fit guy for fun - m4m
"Mon 11 Aug,Sun 10 Aug,Sat 09 Aug",/cas/4613099579.html,"Looking for activity partner, fwb, intelligent conversation etc - m4w"
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4616854901.html,Any tops looking for a boy hole? - m4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4569784539.html,I find curvy thick girls sexy and fun! - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4580771789.html,SUCKING COCK - m4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4616865817.html,Outdoor Fun Saturday Night - m4m
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4571494583.html,Any couples or females into ab/dl?  - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4616849324.html,Seeking sexy bbw/thick/ or pregnant girl looking for NSA fun! - m4w
"Wed 13 Aug,Tue 12 Aug,Mon 11 Aug",/cas/4603840486.html,make me your bitch slave - m4m
